,id,polarisability,homo_lumo_gap,ligands,lig1,lig2,lig3,lig4
62360,62360,461.836236,2.227516095725,"BIFMOV-subgraph-1,CUJYEL-subgraph-2,BIFZEX-subgraph-0,BIFZEX-subgraph-0",BIFMOV-subgraph-1,CUJYEL-subgraph-2,BIFZEX-subgraph-0,BIFZEX-subgraph-0
1106,1106,461.831293,1.791435285612,"VUFZUT-subgraph-1,CUJYEL-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2",VUFZUT-subgraph-1,CUJYEL-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2
62361,62361,461.758134,2.278729211387,"CUJYEL-subgraph-2,BIFMOV-subgraph-1,BIFZEX-subgraph-0,BIFZEX-subgraph-0",CUJYEL-subgraph-2,BIFMOV-subgraph-1,BIFZEX-subgraph-0,BIFZEX-subgraph-0
62223,62223,461.731409,2.362272555769,"GUVMEP-subgraph-0,NURKEQ-subgraph-2,BIFZEX-subgraph-0,BIFZEX-subgraph-0",GUVMEP-subgraph-0,NURKEQ-subgraph-2,BIFZEX-subgraph-0,BIFZEX-subgraph-0
62222,62222,461.726984,2.289917079947,"NURKEQ-subgraph-2,GUVMEP-subgraph-0,BIFZEX-subgraph-0,BIFZEX-subgraph-0",NURKEQ-subgraph-2,GUVMEP-subgraph-0,BIFZEX-subgraph-0,BIFZEX-subgraph-0
122429,122430,461.636283,1.990615675549,"BIFZEX-subgraph-0,BIFMOV-subgraph-1,BIFZEX-subgraph-0,CUJYEL-subgraph-2",BIFZEX-subgraph-0,BIFMOV-subgraph-1,BIFZEX-subgraph-0,CUJYEL-subgraph-2
122360,122361,461.620128,2.067201541339,"BIFZEX-subgraph-0,NURKEQ-subgraph-2,BIFZEX-subgraph-0,GUVMEP-subgraph-0",BIFZEX-subgraph-0,NURKEQ-subgraph-2,BIFZEX-subgraph-0,GUVMEP-subgraph-0
97997,97998,461.527263,2.559508690408,"CUJYEL-subgraph-2,NURKEQ-subgraph-2,CUJYEL-subgraph-2,RAJXUX-subgraph-2",CUJYEL-subgraph-2,NURKEQ-subgraph-2,CUJYEL-subgraph-2,RAJXUX-subgraph-2
13497,13497,461.499121,2.538047296221,"RAJXUX-subgraph-2,NURKEQ-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2",RAJXUX-subgraph-2,NURKEQ-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2
13496,13496,461.493896,2.465132681998,"NURKEQ-subgraph-2,RAJXUX-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2",NURKEQ-subgraph-2,RAJXUX-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2
